,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,22.97,79,35,7.82,PF,1605205350
1,Vaini,-21.2,-175.2,25.0,88,75,5.1,TO,1605205350
2,Kapaa,22.08,-159.32,25.0,69,1,7.7,US,1605205077
3,Arraial do Cabo,-22.97,-42.03,27.0,78,75,4.1,BR,1605205350
4,Yellowknife,62.46,-114.35,-8.33,92,90,7.2,CA,1605205201
5,Busselton,-33.65,115.33,15.56,85,94,4.76,AU,1605205350
6,Oktyabr'skiy,54.48,53.47,-2.55,97,100,5.15,RU,1605205351
7,Maniitsoq,65.42,-52.9,-4.03,91,100,5.33,GL,1605205351
8,Shangzhi,45.22,127.97,1.66,84,65,4.66,CN,1605205351
9,Albany,42.6,-73.97,8.89,62,100,0.89,US,1605205351
10,Grand Gaube,-20.01,57.66,24.44,76,5,2.24,MU,1605205351
11,Cherskiy,68.75,161.3,-14.51,95,100,4.64,RU,1605205351
12,Hilo,19.73,-155.09,22.0,83,75,4.1,US,1605205168
13,Bluff,-46.6,168.33,10.0,95,67,0.45,NZ,1605205352
14,Rio Grande,-32.03,-52.1,27.0,61,75,5.7,BR,1605205352
15,Lebu,-37.62,-73.65,15.08,69,100,6.64,CL,1605205352
16,Hong Kong,22.29,114.16,21.67,70,33,3.88,HK,1605204923
17,Zolochiv,49.81,24.89,3.0,100,90,3.0,UA,1605205352
18,Ribeira Grande,38.52,-28.7,19.0,68,20,2.6,PT,1605205352
19,Huilong,31.81,121.66,15.56,84,0,2.2,CN,1605205331
20,Mataura,-46.19,168.86,10.0,95,83,0.45,NZ,1605205353
21,Malanje,-9.54,16.34,17.61,92,100,1.45,AO,1605205353
22,Swanzey,42.87,-72.28,9.0,81,90,2.1,US,1605205353
23,Cap Malheureux,-19.98,57.61,24.44,76,3,2.24,MU,1605205353
24,Tiksi,71.69,128.87,-16.35,94,97,1.21,RU,1605205353
25,Bud,39.45,-86.18,10.0,49,1,2.1,US,1605205353
26,Cabedelo,-6.98,-34.83,29.0,62,40,6.2,BR,1605205354
27,Cidreira,-30.18,-50.21,22.22,79,79,4.01,BR,1605205354
28,Ushuaia,-54.8,-68.3,17.0,36,40,6.2,AR,1605205237
29,Meulaboh,4.14,96.13,25.85,87,97,1.82,ID,1605205354
30,Ozinki,51.18,49.68,-2.82,93,74,4.34,RU,1605205354
31,George Town,5.41,100.34,26.0,94,20,1.5,MY,1605205081
32,Hermanus,-34.42,19.23,21.67,68,2,1.84,ZA,1605205355
33,Chapais,49.78,-74.85,0.0,87,90,5.7,CA,1605205330
34,Port Keats,-14.25,129.55,28.64,82,7,4.93,AU,1605205355
35,Kumul,42.8,93.45,1.95,76,24,0.12,CN,1605205355
36,Bengkulu,-3.8,102.27,24.7,88,98,1.76,ID,1605205355
37,Khatanga,71.97,102.5,-24.02,90,0,3.87,RU,1605205356
38,Saint George,37.1,-113.58,7.0,48,1,1.38,US,1605205103
39,Tuktoyaktuk,69.45,-133.04,-18.0,84,40,5.1,CA,1605205356
40,Iqaluit,63.75,-68.51,-11.0,72,90,3.1,CA,1605205356
41,Hambantota,6.12,81.12,25.0,100,40,2.93,LK,1605205357
42,Tasiilaq,65.61,-37.64,-5.0,62,20,0.5,GL,1605205357
43,Tuatapere,-46.13,167.68,10.0,95,5,0.45,NZ,1605205357
44,Puerto Ayora,-0.74,-90.35,24.0,73,75,4.1,EC,1605205357
45,Saint-Philippe,-21.36,55.77,25.0,78,90,3.1,RE,1605205357
46,Tadine,-21.55,167.88,22.65,85,72,4.12,NC,1605205358
47,Narsaq,60.92,-46.05,-7.0,62,20,3.1,GL,1605205358
48,Guápiles,10.22,-83.79,26.0,69,40,4.6,CR,1605205358
49,Hobart,-42.88,147.33,15.0,54,40,5.1,AU,1605205264
50,Ust-Tsilma,65.44,52.15,-6.64,98,80,1.5,RU,1605205358
51,Punta Arenas,-53.15,-70.92,16.0,44,0,6.2,CL,1605205359
52,Tiznit Province,29.58,-9.5,22.26,31,100,0.75,MA,1605205359
53,Chokurdakh,70.63,147.92,-26.28,90,67,1.45,RU,1605205359
54,Bambous Virieux,-20.34,57.76,24.44,83,40,6.2,MU,1605205359
55,Vyshestebliyevskaya,45.2,37.02,5.0,56,0,8.0,RU,1605205359
56,Saint Paul Harbor,57.79,-152.41,5.0,52,20,12.3,US,1605205311
57,Esperance,-33.87,121.9,12.0,81,90,5.1,AU,1605205360
58,Camacha,33.08,-16.33,21.0,77,40,3.6,PT,1605205360
59,Atuona,-9.8,-139.03,25.56,71,4,5.87,PF,1605205360
60,West Plains,36.73,-91.85,13.89,37,1,2.1,US,1605205360
61,Barrow,71.29,-156.79,-11.0,78,90,6.7,US,1605205360
62,Thunder Bay,48.4,-89.32,1.11,59,75,5.1,CA,1605205275
63,Dikson,73.51,80.55,-16.47,94,10,1.29,RU,1605205361
64,Aquiraz,-3.9,-38.39,30.0,58,20,8.2,BR,1605205227
65,Portel,-1.94,-50.82,33.41,48,52,1.48,BR,1605205361
66,Cabo San Lucas,22.89,-109.91,27.22,53,20,1.74,MX,1605205243
67,Soure,-0.72,-48.52,28.81,75,67,4.96,BR,1605205361
68,Saskylakh,71.92,114.08,-24.63,89,8,0.94,RU,1605205361
69,Butaritari,3.07,172.79,27.14,74,51,5.24,KI,1605205361
70,Atar,20.52,-13.05,32.5,12,1,4.76,MR,1605205362
71,Hithadhoo,-0.6,73.08,28.24,75,99,4.67,MV,1605205141
72,Oranjemund,-28.55,16.43,21.43,46,0,2.08,NA,1605205362
73,Chernyshevskiy,63.01,112.47,-3.9,98,100,5.06,RU,1605205362
74,Carnarvon,-24.87,113.63,19.0,77,40,6.7,AU,1605205362
75,Darovskoy,58.77,47.96,-2.64,97,75,3.14,RU,1605205362
76,Flin Flon,54.77,-101.86,-18.0,84,20,3.1,CA,1605205362
77,Kaitangata,-46.28,169.85,8.04,92,77,1.86,NZ,1605205363
78,Westfield,42.13,-72.75,11.11,81,90,7.7,US,1605205363
79,Northam,51.03,-4.22,12.22,88,85,4.47,GB,1605205363
80,Yinchuan,38.47,106.27,8.2,46,19,3.13,CN,1605205363
81,Williamsburg,37.27,-76.71,19.0,100,75,3.5,US,1605205363
82,Tulagi,-9.1,160.15,25.0,94,75,2.1,SB,1605205363
83,Katsuura,35.13,140.3,12.22,66,75,4.6,JP,1605205364
84,Prince George,53.92,-122.75,-1.67,79,75,10.3,CA,1605205252
85,Shimoda,34.67,138.95,8.89,86,69,5.02,JP,1605205364
86,Beringovskiy,63.05,179.32,-7.15,96,100,6.49,RU,1605205364
87,Thompson,55.74,-97.86,-21.0,76,40,2.1,CA,1605205199
88,Port Elizabeth,-33.92,25.57,19.0,82,0,10.3,ZA,1605205364
89,São João da Barra,-21.64,-41.05,27.0,74,75,6.2,BR,1605205365
90,San Cristobal,7.77,-72.22,29.0,62,40,3.6,VE,1605205140
91,Castro,-24.79,-50.01,23.45,70,100,2.5,BR,1605205180
92,Codrington,-38.27,141.97,12.55,88,100,5.13,AU,1605205365
93,Upernavik,72.79,-56.15,-7.49,95,100,5.76,GL,1605205365
94,Ust'-Shonosha,61.15,41.34,-0.39,96,91,3.32,RU,1605205365
95,Husavik,66.04,-17.34,1.0,86,90,3.6,IS,1605205366
96,Sobolevo,54.43,31.9,-0.75,97,94,2.03,RU,1605205366
97,Vila,42.03,-8.16,13.89,79,87,1.3,PT,1605205366
98,Dera Bugti,29.03,69.15,18.56,27,6,1.43,PK,1605205366
99,Constitución,-35.33,-72.42,18.03,55,86,5.77,CL,1605205366
100,Kruisfontein,-34.0,24.73,20.56,77,0,1.79,ZA,1605205366
101,Avarua,-21.21,-159.78,24.0,83,85,1.5,CK,1605205090
102,Najrān,17.49,44.13,22.0,35,0,1.34,SA,1605205367
103,Leningradskiy,69.38,178.42,-7.1,95,100,4.04,RU,1605205367
104,Norman Wells,65.28,-126.83,-15.0,84,75,1.0,CA,1605205367
105,Belyy Yar,53.6,91.39,-3.0,92,79,2.0,RU,1605205367
106,Rocha,-34.48,-54.33,22.01,72,69,5.55,UY,1605205368
107,Jamestown,42.1,-79.24,8.89,56,1,2.6,US,1605205134
108,Cayenne,4.93,-52.33,30.0,70,75,5.1,GF,1605205368
109,Mahébourg,-20.41,57.7,24.0,83,40,6.2,MU,1605205368
110,Nome,64.5,-165.41,0.0,96,90,1.01,US,1605205368
111,Half Moon Bay,37.46,-122.43,13.89,62,1,1.0,US,1605205092
112,Tarifa,36.01,-5.61,20.0,68,0,7.7,ES,1605205369
113,Rodolfo Sánchez Taboada,31.72,-116.57,17.22,57,54,0.45,MX,1605205369
114,Clyde River,70.47,-68.59,-19.0,58,40,7.7,CA,1605205369
115,Yurginskoye,56.82,67.39,-5.4,97,96,3.59,RU,1605205369
