,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,23.22,76,61,7.55,PF,1604944827
1,Vaini,-21.2,-175.2,22.0,94,20,2.1,TO,1604944852
2,Kapaa,22.08,-159.32,26.0,78,20,8.2,US,1604944657
3,Arraial do Cabo,-22.97,-42.03,28.0,78,40,4.1,BR,1604944567
4,Yellowknife,62.46,-114.35,-2.22,79,75,1.5,CA,1604944642
5,Busselton,-33.65,115.33,12.22,69,63,8.53,AU,1604944806
6,Oktyabr'skiy,54.48,53.47,0.54,90,100,4.86,RU,1604944853
7,Maniitsoq,65.42,-52.9,-6.64,83,79,6.77,GL,1604944853
8,Shangzhi,45.22,127.97,-8.62,90,0,3.54,CN,1604944853
9,Albany,42.6,-73.97,20.0,42,0,0.86,US,1604944819
10,Grand Gaube,-20.01,57.66,23.33,70,14,3.13,MU,1604944854
11,Cherskiy,68.75,161.3,-16.31,94,100,2.51,RU,1604944854
12,Hilo,19.73,-155.09,22.0,83,75,3.6,US,1604944832
13,Bluff,-46.6,168.33,7.2,85,2,2.96,NZ,1604944855
14,Rio Grande,-32.03,-52.1,19.0,93,90,5.7,BR,1604944814
15,Lebu,-37.62,-73.65,14.67,71,6,8.61,CL,1604944855
16,Hong Kong,22.29,114.16,22.78,75,100,0.45,HK,1604944692
17,Zolochiv,49.81,24.89,7.0,93,90,2.0,UA,1604944855
18,Ribeira Grande,38.52,-28.7,19.0,82,75,10.3,PT,1604944828
19,Huilong,31.81,121.66,13.89,73,0,1.54,CN,1604944856
20,Mataura,-46.19,168.86,3.74,94,5,0.88,NZ,1604944807
21,Malanje,-9.54,16.34,20.19,94,61,2.72,AO,1604944857
22,Swanzey,42.87,-72.28,20.0,49,5,0.89,US,1604944857
23,Cap Malheureux,-19.98,57.61,23.33,70,11,3.13,MU,1604944857
24,Tiksi,71.69,128.87,-22.81,87,0,2.91,RU,1604944857
25,Bud,39.45,-86.18,22.78,64,90,3.1,US,1604944858
26,Cabedelo,-6.98,-34.83,29.0,74,75,7.2,BR,1604944858
27,Cidreira,-30.18,-50.21,19.5,91,100,7.93,BR,1604944806
28,Ushuaia,-54.8,-68.3,10.0,27,0,8.7,AR,1604944523
29,Meulaboh,4.14,96.13,25.12,88,93,1.81,ID,1604944859
30,Ozinki,51.18,49.68,1.63,85,0,3.04,RU,1604944859
31,George Town,5.41,100.34,26.0,94,20,0.5,MY,1604944859
32,Hermanus,-34.42,19.23,14.44,65,23,3.79,ZA,1604944823
33,Chapais,49.78,-74.85,14.0,76,75,5.7,CA,1604944860
34,Port Keats,-14.25,129.55,28.1,80,33,2.74,AU,1604944860
35,Kumul,42.8,93.45,4.46,57,19,3.33,CN,1604944861
36,Bengkulu,-3.8,102.27,24.57,81,100,1.69,ID,1604944861
37,Khatanga,71.97,102.5,-5.55,98,100,4.35,RU,1604944829
38,Saint George,37.1,-113.58,6.11,60,90,2.1,US,1604944862
39,Tuktoyaktuk,69.45,-133.04,-18.0,84,90,5.7,CA,1604944863
40,Iqaluit,63.75,-68.51,-14.0,77,75,3.1,CA,1604944732
41,Hambantota,6.12,81.12,26.07,85,56,4.55,LK,1604944863
42,Tasiilaq,65.61,-37.64,-0.09,97,100,18.21,GL,1604944863
43,Tuatapere,-46.13,167.68,5.48,91,10,1.55,NZ,1604944864
44,Puerto Ayora,-0.74,-90.35,23.0,73,75,7.2,EC,1604944823
45,Saint-Philippe,-21.36,55.77,24.0,73,0,4.6,RE,1604944824
46,Tadine,-21.55,167.88,21.21,72,28,5.59,NC,1604944864
47,Narsaq,60.92,-46.05,-3.0,86,75,1.0,GL,1604944864
48,Guápiles,10.22,-83.79,25.56,73,40,4.6,CR,1604944669
